index, node loc, heuristic
0, (1 1), inf
1, (1 2), 1
2, (1 3), 4
3, (1 4), 9
4, (1 5), 16
5, (1 6), 25
6, (1 7), 36
7, (1 8), 49
8, (1 9), 64
9, ( 1 10), 81
10, ( 1 11), 100
11, ( 1 12), 121
12, ( 1 13), 144
13, ( 1 14), 169
14, ( 1 15), 196
15, ( 1 16), 225
16, ( 1 17), 256
17, ( 1 18), 289
18, ( 1 19), 324
19, ( 1 20), 361
20, ( 1 21), 400
21, ( 1 22), 441
22, ( 1 23), 484
23, ( 1 24), 529
24, ( 1 25), 576
25, ( 1 26), 625
26, ( 1 27), 676
27, ( 1 28), 729
28, ( 1 29), 784
29, ( 1 30), 841
30, ( 1 31), 900
31, ( 1 32), 961
32, ( 1 33), 1024
33, ( 1 34), 1089
34, ( 1 35), 1156
35, ( 1 36), 1225
36, ( 1 37), 1296
37, ( 1 38), 1369
38, ( 1 39), 1444
39, ( 1 40), 1521
40, ( 1 41), 1600
41, ( 1 42), 1681
42, ( 1 43), 1764
43, ( 1 44), 1849
44, ( 1 45), 1936
45, ( 1 46), 2025
46, ( 1 47), 2116
47, ( 1 48), 2209
48, ( 1 49), 2304
49, ( 1 50), 2401
50, ( 1 51), 2500
51, ( 1 52), 2601
52, ( 1 53), 2704
53, ( 1 54), 2809
54, ( 1 55), 2916
55, ( 1 56), 3025
56, ( 1 57), 3136
57, ( 1 58), 3249
58, ( 1 59), 3364
59, ( 1 60), 3481
60, ( 1 61), 3600
61, ( 1 62), 3721
62, ( 1 63), 3844
63, ( 1 64), 3969
64, ( 1 65), 4096
65, ( 1 66), 4225
66, ( 1 67), 4356
67, ( 1 68), 4489
68, ( 1 69), 4624
69, ( 1 70), 4761
70, ( 1 71), 4900
71, ( 1 72), 5041
72, ( 1 73), 5184
73, ( 1 74), 5329
74, ( 1 75), 5476
75, ( 1 76), 5625
76, ( 1 77), 5776
77, ( 1 78), 5929
78, ( 1 79), 6084
79, ( 1 80), 6241
80, ( 1 81), 6400
81, ( 1 82), 6561
82, ( 1 83), 6724
83, ( 1 84), 6889
84, ( 1 85), 7056
85, ( 1 86), 7225
86, ( 1 87), 7396
87, ( 1 88), 7569
88, ( 1 89), 7744
89, ( 1 90), 7921
90, ( 1 91), 8100
91, ( 1 92), 8281
92, ( 1 93), 8464
93, ( 1 94), 8649
94, ( 1 95), 8836
95, ( 1 96), 9025
96, ( 1 97), 9216
97, ( 1 98), 9409
98, ( 1 99), 9604
99, (  1 100), 9801
100, (  1 101), 10000
101, (  1 102), 10201
102, (  1 103), 10404
103, (  1 104), 10609
104, (  1 105), 10816
105, (  1 106), 11025
106, (  1 107), 11236
107, (  1 108), 11449
108, (  1 109), 11664
109, (  1 110), 11881
110, (  1 111), 12100
111, (  1 112), 12321
112, (  1 113), 12544
113, (  1 114), 12769
114, (  1 115), 12996
115, (  1 116), 13225
116, (  1 117), 13456
117, (  1 118), 13689
118, (  1 119), 13924
119, (  1 120), 14161
120, (  1 121), 14400
121, (  1 122), 14641
122, (  1 123), 14884
123, (  1 124), 15129
124, (  1 125), 15376
125, (  1 126), 15625
126, (  1 127), 15876
127, (  1 128), 16129
128, (  1 129), 16384
129, (  1 130), 16641
130, (  1 131), 16900
131, (  1 132), 17161
132, (  1 133), 17424
133, (  1 134), 17689
134, (  1 135), 17956
135, (  1 136), 18225
136, (  1 137), 18496
137, (  1 138), 18769
138, (  1 139), 19044
139, (  1 140), 19321
140, (  1 141), 19600
141, (  1 142), 19881
142, (  1 143), 20164
143, (  1 144), 20449
144, (  1 145), 20736
145, (  1 146), 21025
146, (  1 147), 21316
147, (  1 148), 21609
148, (  1 149), 21904
149, (  1 150), 22201
150, (  1 151), 22500
151, (  1 152), 22801
152, (  1 153), 23104
153, (  1 154), 23409
154, (  1 155), 23716
155, (  1 156), 24025
156, (  1 157), 24336
157, (  1 158), 24649
158, (  1 159), 24964
159, (  1 160), 25281
160, (  1 161), 25600
161, (  2 162), 25922
162, (  3 163), 26248
163, (  4 164), 26578
164, (  5 165), 26912
165, (  6 166), 27250
166, (  7 167), 27592
167, (  8 168), 27938
168, (  9 169), 28288
169, ( 10 170), 28642
170, ( 11 171), 29000
171, ( 12 172), 29362
172, ( 13 173), 29728
173, ( 14 174), 30098
174, ( 15 175), 30472
175, ( 16 176), 30850
176, ( 17 177), 31232
177, ( 18 178), 31618
178, ( 19 179), 32008
179, ( 20 180), 32402
180, ( 21 181), 32800
181, ( 22 182), 33202
182, ( 23 183), 33608
183, ( 24 184), 34018
184, ( 25 185), 34432
185, ( 26 186), 34850
186, ( 27 187), 35272
187, ( 28 188), 35698
188, ( 29 189), 36128
189, ( 30 190), 36562
190, ( 31 191), 37000
191, ( 32 192), 37442
192, ( 33 193), 37888
193, ( 34 194), 38338
194, ( 35 195), 38792
195, ( 36 196), 39250
196, ( 37 197), 39712
197, ( 38 198), 40178
198, ( 39 199), 40648
199, ( 40 200), 41122
200, ( 41 201), 41600
201, ( 42 202), 42082
202, ( 43 203), 42568
203, ( 44 204), 43058
204, ( 45 205), 43552
205, ( 46 206), 44050
206, ( 47 207), 44552
207, ( 48 208), 45058
208, ( 49 209), 45568
209, ( 50 210), 46082
210, ( 51 211), 46600
211, ( 52 212), 47122
212, ( 53 213), 47648
213, ( 54 214), 48178
214, ( 55 215), 48712
215, ( 56 216), 49250
216, ( 57 217), 49792
217, ( 58 218), 50338
218, ( 59 219), 50888
219, ( 60 220), 51442
220, ( 61 221), 52000
221, ( 62 222), 52562
222, ( 63 223), 53128
223, ( 64 224), 53698
224, ( 65 225), 54272
225, ( 66 226), 54850
226, ( 67 227), 55432
227, ( 68 228), 56018
228, ( 69 229), 56608
229, ( 70 230), 57202
230, ( 71 231), 57800
231, ( 72 232), 58402
232, ( 73 233), 59008
233, ( 74 234), 59618
234, ( 75 235), 60232
235, ( 76 236), 60850
236, ( 77 237), 61472
237, ( 78 238), 62098
238, ( 79 239), 62728
239, ( 80 240), 63362
