time: <class 'datetime.datetime'>index, node loc, heuristic
0, (118, 152
1, (119, 151
2, (120, 150
3, (121, 149
4, (122, 148
5, (123, 147
6, (124, 146
7, (125, 145
8, (126, 144
9, (127, 143
10, (128, 142
11, (129, 141
12, (130, 140
13, (131, 139
14, (132, 138
15, (133, 138
16, (134, 139
17, (135, 140
18, (136, 141
19, (137, 142
20, (138, 143
21, (139, 144
22, (140, 145
23, (141, 146
24, (142, 147
25, (143, 148
26, (144, 149
27, (145, 150
28, (146, 151
29, (147, 152
30, (148, 153
31, (149, 154
32, (150, 155
33, (151, 156
34, (152, 157
35, (153, 158
36, (154, 159
37, (155, 160
38, (156, 161
39, (157, 162
40, (158, 163
41, (159, 164
42, (160, 165
43, (161, 166
44, (162, 167
45, (163, 168
46, (164, 169
47, (165, 170
48, (166, 171
49, (167, 172
50, (168, 173
51, (169, 174
52, (170, 175
53, (171, 176
54, (172, 177
55, (173, 178
56, (174, 179
57, (175, 180
58, (176, 181
59, (177, 182
60, (178, 183
61, (179, 184
62, (180, 185
63, (181, 186
64, (182, 187
65, (183, 188
66, (184, 189
67, (185, 190
68, (186, 191
69, (187, 192
70, (188, 193
71, (189, 194
72, (190, 195
73, (191, 196
74, (192, 197
75, (193, 198
76, (194, 199
77, (195, 200
78, (196, 201
79, (197, 202
80, (198, 203
81, (199, 204
82, (200, 205
83, (201, 206
84, (202, 207
85, (203, 208
86, (204, 209
87, (205, 210
88, (206, 211
