index, node loc, heuristic
0, (25 35), 0
1, (26 35), 1
2, (27 35), 2
3, (28 35), 3
4, (29 35), 4
5, (30 35), 5
6, (31 35), 6
7, (32 35), 7
8, (33 35), 8
9, (34 35), 9
10, (35 35), 10
11, (36 35), 11
12, (37 35), 12
13, (38 35), 13
14, (39 35), 14
15, (40 35), 15
16, (41 35), 16
17, (42 35), 17
18, (43 35), 18
19, (44 35), 19
20, (45 35), 20
21, (46 35), 21
22, (47 35), 22
23, (48 35), 23
24, (49 35), 24
25, (50 35), 25
26, (51 35), 26
27, (52 35), 27
28, (53 35), 28
29, (54 35), 29
30, (55 35), 30
31, (56 35), 31
32, (57 35), 32
33, (58 35), 33
34, (59 35), 34
35, (60 35), 35
36, (61 35), 36
37, (62 35), 37
38, (63 35), 38
39, (64 35), 39
40, (65 35), 40
