time: <class 'datetime.datetime'>index, node loc, heuristic
0, (25 35), 0
1, (26 34), 0
2, (27 33), 0
3, (28 32), 0
4, (29 31), 0
5, (30 30), 0
6, (31 29), 0
7, (32 28), 0
8, (33 27), 0
9, (34 26), 0
10, (35 25), 0
11, (36 24), 0
12, (37 23), 0
13, (38 22), 0
14, (39 21), 0
15, (40 20), 0
16, (41 19), 0
17, (42 18), 0
18, (43 17), 0
19, (44 16), 0
20, (45 15), 0
21, (46 16), 0
22, (47 17), 0
23, (48 18), 0
24, (49 19), 0
25, (50 20), 0
26, (51 21), 0
27, (52 22), 0
28, (53 23), 0
29, (54 24), 0
30, (55 25), 0
31, (56 26), 0
32, (57 27), 0
33, (58 28), 0
34, (59 29), 0
35, (60 30), 0
36, (61 31), 0
37, (62 32), 0
38, (63 33), 0
39, (64 34), 0
40, (65 35), 0
