index, node loc, heuristic
0, (25 35  0), 0
1, (27 38  1), 295.5956103922005
2, (32 46  1), 292.21445746098834
3, (33 47  1), 282.87897749742683
4, (34 48  1), 281.54427198567316
5, (33 49  2), 281.0788419067271
6, (31 51  2), 281.16721589720095
7, (29 53  2), 280.2814454665151
8, (27 56  2), 279.5358415887124
9, (25 58  2), 277.70711676256224
10, (24 59  2), 276.3027524469997
11, (22 61  2), 276.5141678231678
12, (21 62  2), 275.1300056749533
13, (19 64  2), 275.3820845797315
14, (21 67  1), 272.78430013674534
15, (18 72  2), 271.994360842481
16, (20 75  1), 266.39283526803854
17, (19 76  2), 264.0534296665472
18, (20 77  1), 262.679880313
19, (19 78  2), 262.34592372457075
20, (20 79  1), 260.9710408520613
21, (19 80  2), 260.6426105652354
22, (20 81  1), 259.2663988942202
23, (19 82  2), 258.9435735720977
24, (20 83  1), 257.56603843233944
25, (19 84  2), 257.2488981367011
26, (20 85  1), 255.87004549572208
27, (19 86  2), 255.55867171130237
28, (20 87  1), 254.17850820401011
29, (19 88  2), 253.87298386289865
30, (20 89  1), 252.49151682242655
31, (19 90  2), 252.1919263285688
32, (20 91  1), 250.80916381837707
33, (19 92  2), 250.51559307214507
34, (20 93  1), 249.13154391942766
35, (19 94  2), 248.84408034222736
36, (20 95  1), 247.45875417267155
37, (19 96  2), 247.17748673155128
38, (20 97  1), 245.79089400549807
39, (19 98  2), 245.51591323771842
40, (20 99  1), 244.12806528777287
41, ( 19 100   2), 243.8594633252956
42, ( 20 101   1), 242.4703723954367
43, ( 19 102   2), 242.20824298928628
44, ( 21 106   1), 240.77955806218657
45, ( 20 107   2), 237.52919139673537
46, ( 21 108   1), 236.13671220037236
47, ( 20 109   2), 235.89313799254566
48, ( 21 110   1), 234.4994623649698
49, ( 20 111   2), 234.26278221015093
50, ( 22 114   1), 232.65913495856665
51, ( 21 115   2), 230.43160902116853
52, ( 23 118   1), 228.8288237748888
53, ( 27 125   1), 225.8155898453799
54, ( 29 128   1), 217.21350801485352
55, ( 34 136   1), 213.8062805705457
56, ( 36 139   1), 204.20489504505127
57, ( 41 147   1), 200.80094339389416
58, ( 43 150   1), 191.20042734993956
59, ( 48 158   1), 187.80044994318772
60, ( 50 161   1), 178.20103329199858
61, ( 51 162   1), 174.80046296234278
62, ( 53 165   1), 173.2010638264429
63, ( 54 166   1), 169.80047675736802
64, ( 56 169   1), 168.20109622045769
65, ( 57 170   1), 164.80049139974977
66, ( 59 173   1), 163.20113064925135
67, ( 60 174   1), 159.8005069700348
68, ( 62 177   1), 158.20116731075677
69, ( 63 178   1), 154.80052355931247
70, ( 65 181   1), 153.20120642943877
71, ( 66 182   1), 149.80054127099805
72, ( 68 185   1), 148.20124826089406
73, ( 69 186   1), 144.80056022299073
74, ( 71 189   1), 143.20129309744217
75, ( 72 190   1), 139.80058055030102
76, ( 74 193   1), 138.2013412749664
77, ( 75 194   1), 134.80060240827223
78, ( 77 197   1), 133.20139318134306
79, ( 78 198   1), 129.80062597655774
80, ( 80 201   1), 128.2014492669067
81, ( 81 202   1), 124.80065146407001
82, ( 83 205   1), 123.20151005754919
83, ( 84 206   1), 119.80067911519016
84, ( 86 209   1), 118.20157617125956
85, ( 87 210   1), 114.8007092176286
86, ( 86 211   2), 114.61438629233834
87, ( 84 213   2), 115.29425630903836
88, ( 82 213   3), 115.56936206565572
89, ( 81 214   2), 115.45483682946268
90, ( 79 216   2), 116.27841806805037
91, ( 78 217   2), 115.21660655575224
92, ( 76 219   2), 116.14592347937243
93, ( 75 220   2), 115.13708498984761
94, ( 73 222   2), 116.17243480636087
95, ( 71 224   2), 116.27841806805037
96, ( 69 226   2), 116.45483682946268
97, ( 71 229   1), 113.98636279102969
98, ( 69 232   2), 113.63576058932597
99, ( 70 233   1), 110.23123393919151
100, ( 69 234   2), 110.40664186294121
101, ( 70 235   1), 109.00467279516349
102, ( 69 236   2), 109.20074626605917
103, ( 70 237   1), 107.80170130957252
104, ( 69 238   2), 108.01886624558857
105, ( 70 239   1), 106.62313319720452
106, ( 69 240   2), 106.86181383134664
107, ( 70 241   1), 105.46980235798269
108, ( 69 242   2), 105.73041983911952
109, ( 70 243   1), 104.34256201600583
110, ( 69 244   2), 104.62553288534
111, ( 70 245   1), 103.24228365658294
112, ( 69 246   2), 103.54801819828883
113, ( 70 247   1), 102.16985574512923
114, ( 69 248   2), 102.4987562112089
115, ( 70 249   1), 101.12618221237011
116, ( 69 250   2), 101.4786409235671
117, ( 70 251   1), 100.11218069128827
118, ( 69 252   2), 100.48857801796105
119, ( 70 253   1), 99.12878049270464
120, ( 69 254   2), 99.52948272189288
121, ( 70 255   1), 98.17692030835673
122, ( 69 256   2), 98.60227740586657
123, ( 70 257   1), 97.25754563287887
124, ( 69 258   2), 97.70788891204319
125, ( 70 259   1), 96.37160589923221
126, ( 69 260   2), 96.847245611035
127, ( 71 263   1), 95.7877987534291
128, ( 70 264   2), 94.30926280715278
129, ( 72 267   1), 93.31965069345043
130, ( 71 268   2), 91.88882021697692
131, ( 72 269   1), 90.60022573334675
132, ( 73 270   1), 89.31551981177229
133, ( 75 273   1), 88.43340571124678
134, ( 79 279   1), 86.84795495128583
135, ( 81 279   0), 78.92203845452875
136, ( 82 280   1), 77.69015788066504
137, ( 84 280   0), 75.76313442364011
138, ( 85 281   1), 74.53275122315436
139, ( 86 282   1), 73.30918594402827
140, ( 88 282   0), 71.3757882838098
141, ( 89 283   1), 70.15423684555495
142, ( 90 284   1), 68.94027188471824
143, ( 92 284   0), 67.0
144, ( 93 285   1), 65.78871373526825
145, ( 94 286   1), 64.58594091327541
146, ( 96 286   0), 62.63827174318213
147, ( 97 287   1), 61.43904440685432
148, ( 99 287   0), 59.48912940721924
149, (100 288   1), 58.293871780150276
150, (102 288   0), 56.3415126767741
151, (103 289   1), 55.150729063673246
152, (105 289   0), 53.19570294468082
153, (106 290   1), 52.00999900019995
154, (108 290   0), 50.05205510693585
155, (109 291   1), 48.87216658103186
156, (111 291   0), 46.91102314577124
157, (120 291   0), 45.138621999185304
158, (122 291   0), 36.20526275297414
159, (123 292   1), 34.984845004941285
160, (125 292   0), 33.04834939252005
161, (134 292   0), 31.47220505424423
162, (136 292   0), 22.615528128088304
163, (137 293   1), 21.313207915827967
164, (139 293   0), 19.46424919657298
165, (140 294   1), 18.15549442140351
166, (142 294   0), 16.317821063276355
167, (143 295   1), 15.0
168, (150 295   0), 14.071067811865476
