time: <class 'datetime.datetime'>index, node loc, heuristic
0, (25. 25.  0.), 254.55844122715712
1, ( 2.6000000e+01  2.5000000e+01 -8.8817842e-16), 255.05844122715712
2, ( 2.70000000e+01  2.50000000e+01 -1.77635684e-15), 254.85231927244627
3, ( 2.80000000e+01  2.50000000e+01 -2.66453526e-15), 254.64817795117546
4, ( 2.90000000e+01  2.50000000e+01 -3.55271368e-15), 254.44603383693712
5, ( 3.0000000e+01  2.5000000e+01 -4.4408921e-15), 254.245903640953
6, ( 3.10000000e+01  2.50000000e+01 -5.32907052e-15), 254.04780421266383
7, ( 3.20000000e+01  2.50000000e+01 -6.21724894e-15), 253.8517525403008
8, ( 3.30000000e+01  2.50000000e+01 -7.10542736e-15), 253.65776575143823
9, ( 3.40000000e+01  2.50000000e+01 -7.99360578e-15), 253.46586111352696
10, ( 3.5000000e+01  2.5000000e+01 -8.8817842e-15), 253.276056034407
11, ( 3.60000000e+01  2.50000000e+01 -9.76996262e-15), 253.08836806279893
12, ( 3.7000000e+01  2.5000000e+01 -1.0658141e-14), 252.9028148887736
13, ( 3.80000000e+01  2.50000000e+01 -1.15463195e-14), 252.7194143441983
14, ( 3.90000000e+01  2.50000000e+01 -1.24344979e-14), 252.5381844031596
15, ( 4.00000000e+01  2.50000000e+01 -1.33226763e-14), 252.35914318236107
16, ( 4.10000000e+01  2.50000000e+01 -1.42108547e-14), 252.1823089414956
17, ( 4.20000000e+01  2.50000000e+01 -1.50990331e-14), 252.00770008359078
18, ( 4.30000000e+01  2.50000000e+01 -1.59872116e-14), 251.83533515532702
19, ( 4.400000e+01  2.500000e+01 -1.687539e-14), 251.6652328473268
20, ( 4.50000000e+01  2.50000000e+01 -1.77635684e-14), 251.49741199441456
21, ( 4.60000000e+01  2.50000000e+01 -1.86517468e-14), 251.3318915758459
22, ( 4.70000000e+01  2.50000000e+01 -1.95399252e-14), 251.16869071550522
23, ( 4.80000000e+01  2.50000000e+01 -2.04281037e-14), 251.00782868207042
24, ( 4.90000000e+01  2.50000000e+01 -2.13162821e-14), 250.8493248891443
25, ( 5.00000000e+01  2.50000000e+01 -2.22044605e-14), 250.6931988953505
26, ( 5.10000000e+01  2.50000000e+01 -2.30926389e-14), 250.53947040439405
27, ( 5.20000000e+01  2.50000000e+01 -2.39808173e-14), 250.38815926508443
28, ( 5.30000000e+01  2.50000000e+01 -2.48689958e-14), 250.23928547132036
