time: <class 'datetime.datetime'>index, node loc, heuristic
0, (25. 25.  0.), 254.55844122715712
1, (26.04719755 25.          0.        ), 255.60563877835372
2, (27.0943951 25.         0.       ), 255.94671437483947
3, (28.14159265 25.          0.        ), 256.28977060476524
4, (29.1887902 25.         0.       ), 256.6348240417235
5, (30.23598776 25.          0.        ), 256.98189139693596
6, (31.02138592 25.         -0.10471976), 257.0691901320443
7, (32.06284681 24.89053805 -0.10471976), 257.4203360108778
8, (33.10430771 24.7810761  -0.10471976), 258.4954926599173
9, (34.1457686  24.67161415 -0.10471976), 258.8527861342722
10, (35.18722949 24.5621522  -0.10471976), 259.2121841481986
11, (36.22869039 24.45269025 -0.10471976), 259.5737041894881
12, (37.00978606 24.37059378 -0.20943951), 259.6755644975685
13, (38.03409983 24.15286917 -0.20943951), 260.04138161511565
14, (39.0584136  23.93514456 -0.20943951), 260.4093740616491
15, (40.08272737 23.71741994 -0.20943951), 261.51747229558526
16, (41.10704115 23.49969533 -0.20943951), 261.8918966521283
17, (42.13135492 23.28197072 -0.20943951), 262.2685553006059
18, (43.15566869 23.0642461  -0.20943951), 262.64746663702067
19, (44.17998246 22.84652149 -0.20943951), 263.0286491970559
20, (45.20429623 22.62879688 -0.20943951), 264.1620187725453
21, (46.22861001 22.41107226 -0.20943951), 264.5498403926543
22, (47.25292378 22.19334765 -0.20943951), 264.9399935607699
23, (48.02115911 22.03005419 -0.10471976), 265.07069789799095
24, (49.06262    21.92059224 -0.10471976), 265.46557132689384
25, (50.10408089 21.81113029 -0.10471976), 266.62472114955114
26, (51.14554179 21.70166834 -0.10471976), 267.0264425859293
27, (52.18700268 21.59220639 -0.10471976), 267.4305952947334
28, (53.22846357 21.48274443 -0.10471976), 267.8371988757581
29, (54.00955925 21.40064797  0.        ), 267.9844736763255
30, (55.0567568  21.40064797  0.        ), 268.3960383422622
31, (56.10395435 21.40064797  0.        ), 268.81011349084423
32, (57.1511519  21.40064797  0.        ), 269.22671926169056
33, (58.19834945 21.40064797  0.        ), 269.6458759286182
34, (59.245547   21.40064797  0.        ), 270.06760389925125
35, (60.03094516 21.40064797 -0.10471976), 270.2301243267857
36, (61.07240606 21.29118602 -0.10471976), 270.6570566607026
37, (62.11386695 21.18172407 -0.10471976), 271.0866223194421
38, (63.15532784 21.07226212 -0.10471976), 271.51884224101934
39, (64.19678874 20.96280017 -0.10471976), 271.9537374945947
40, (65.23824963 20.85333822 -0.10471976), 273.18586975094416
41, (66.0193453  20.77124175  0.        ), 273.3664584346692
42, (67.06654285 20.77124175  0.        ), 273.81158725386956
43, (68.1137404  20.77124175  0.        ), 274.259478269355
44, (69.16093796 20.77124175  0.        ), 274.71015305417177
45, (70.20813551 20.77124175  0.        ), 275.1636333048221
46, (71.25533306 20.77124175  0.        ), 275.61994084022433
47, (72.04073122 20.77124175 -0.10471976), 275.81729821281453
48, (73.08219211 20.6617798  -0.10471976), 276.2793262585831
49, (74.12365301 20.55231785 -0.10471976), 276.74424776905784
50, (75.1651139  20.4428559  -0.10471976), 277.2120850412154
51, (76.20657479 20.33339395 -0.10471976), 277.68286048833266
52, (77.24803569 20.223932   -0.10471976), 278.1565966385717
53, (78.02913136 20.14183554 -0.20943951), 278.371516745699
54, (79.05344513 19.92411092 -0.20943951), 278.8512423387318
55, (80.0777589  19.70638631 -0.20943951), 280.1612129356083
56, (81.10207267 19.4886617  -0.20943951), 280.6490916821091
57, (82.12638645 19.27093708 -0.20943951), 281.1400443945802
58, (82.63854333 19.16207478 -0.20943951), 281.11049530118873
59, (83.40677866 18.99878132 -0.10471976), 281.89589346458615
60, (84.18787433 18.91668485  0.        ), 282.9681142237279
61, (85.23507188 18.91668485  0.        ), 283.4704820138851
62, (86.02047005 18.91668485 -0.10471976), 283.7142151006951
63, (87.06193094 18.8072229  -0.10471976), 284.22293546088673
64, (88.10339183 18.69776095 -0.10471976), 284.7348669965794
65, (89.14485273 18.588299   -0.10471976), 285.2500330841857
66, (90.18631362 18.47883705 -0.10471976), 285.76845718424033
67, (91.22777451 18.3693751  -0.10471976), 286.29016283895015
68, (92.00887018 18.28727864  0.        ), 286.5533742818663
69, (93.05606774 18.28727864  0.        ), 287.0817139864718
70, (94.10326529 18.28727864  0.        ), 287.61340633669715
71, (95.15046284 18.28727864  0.        ), 288.14847517534616
72, (96.19766039 18.28727864  0.        ), 288.68694441344314
73, (97.24485794 18.28727864  0.        ), 289.2288380272972
74, (98.0302561  18.28727864 -0.10471976), 289.5123806676828
75, (99.071717   18.17781669 -0.10471976), 290.06119520793294
76, (100.11317789  18.06835474  -0.10471976), 290.61350641395495
77, (101.15463878  17.95889278  -0.10471976), 291.1693384921531
78, (102.19609968  17.84943083  -0.10471976), 292.6032022082799
79, (103.23756057  17.73996888  -0.10471976), 293.1681243057265
80, (104.01865624  17.65787242   0.        ), 293.47483495609697
81, (105.06585379  17.65787242   0.        ), 294.04695707838164
82, (106.11305134  17.65787242   0.        ), 294.6227154606333
83, (107.16024889  17.65787242   0.        ), 295.2021343074034
84, (108.20744645  17.65787242   0.        ), 295.78523784809653
85, (109.254644    17.65787242   0.        ), 296.3720503330388
86, ( 1.10040042e+02  1.76578724e+01 -1.04719755e-01), 296.70079664166207
87, ( 1.11081503e+02  1.75484105e+01 -1.04719755e-01), 297.29509982959786
88, ( 1.12122964e+02  1.74389485e+01 -1.04719755e-01), 297.8931847976953
89, ( 1.13164425e+02  1.73294866e+01 -1.04719755e-01), 298.4950758389458
90, ( 1.14205886e+02  1.72200246e+01 -1.04719755e-01), 299.1007972463264
91, ( 1.15247347e+02  1.71105627e+01 -1.04719755e-01), 299.7103733083591
92, (116.0284423  17.0284662   0.       ), 300.062028916787
93, (117.07563985  17.0284662    0.        ), 300.6793871131624
94, (118.1228374  17.0284662   0.       ), 301.3006727573615
95, (119.17003495  17.0284662    0.        ), 301.9259100740085
96, (120.2172325  17.0284662   0.       ), 302.5551232598226
97, ( 1.21002631e+02  1.70284662e+01 -1.04719755e-01), 302.9265370908851
98, ( 1.21523361e+02  1.69737352e+01 -1.04719755e-01), 303.04017569322457
99, (122.30445678  16.89163876   0.        ), 304.7389848746002
100, ( 1.23089855e+02  1.68916388e+01 -1.04719755e-01), 305.12026726344516
101, ( 1.24131316e+02  1.67821768e+01 -1.04719755e-01), 305.7674102535668
102, ( 1.25172777e+02  1.66727149e+01 -1.04719755e-01), 306.41863816099817
103, ( 1.26214238e+02  1.65632529e+01 -1.04719755e-01), 307.07397462952974
104, ( 1.27255699e+02  1.64537910e+01 -1.04719755e-01), 307.73344323760205
105, (128.03679419  16.3716945   -0.20943951), 308.13526810512815
106, (129.06110796  16.15396988  -0.20943951), 308.8030714392454
107, ( 1.29829343e+02  1.59906764e+01 -1.04719755e-01), 309.213277814211
108, (130.61043896  15.90857996   0.        ), 310.9268141175659
109, (131.13403774  15.90857996   0.        ), 311.08113238020803
110, (132.18123529  15.90857996   0.        ), 311.7632849881766
111, (133.22843284  15.90857996   0.        ), 312.44969595497605
112, ( 1.34013831e+02  1.59085800e+01 -1.04719755e-01), 312.87858857698427
113, ( 1.35055292e+02  1.57991180e+01 -1.04719755e-01), 313.5735842033428
114, ( 1.36096753e+02  1.56896561e+01 -1.04719755e-01), 314.27290590340283
115, ( 1.37138214e+02  1.55801941e+01 -1.04719755e-01), 314.9765760121139
116, ( 1.38179675e+02  1.54707322e+01 -1.04719755e-01), 315.6846167363718
117, ( 1.39221135e+02  1.53612702e+01 -1.04719755e-01), 316.39705014912107
118, (140.00223114  15.27917374   0.        ), 316.8520987956182
119, (141.04942869  15.27917374   0.        ), 317.5733832386528
120, (142.09662624  15.27917374   0.        ), 318.29912572574153
121, ( 1.42882024e+02  1.52791737e+01 -1.04719755e-01), 318.76754834648267
122, ( 1.43402755e+02  1.52244428e+01 -1.04719755e-01), 319.29114712208093
123, (144.18385052  15.14234631   0.        ), 319.7640705776805
